"configuration","problem","model","data_file","time","run","objective","v_makespan","v_end_sum"
"gurobi_free_fixedorder_col1","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-04.dzn","22.059","results_sat_all","","5515","48721"
"gurobi_free_fixedorder_col1","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t006-01.dzn","1.857","results_sat_all","","1107","3627"
"cpsat_fixed_fixedorder_col3","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-01.dzn","5.965","results_sat_all","","3516","37922"
"gurobi_free_fixedorder_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t010-02.dzn","1.709","results_sat_all","","2359","15269"
"cpsat_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t008-03.dzn","1.902","results_sat_all","","1770","6814"
"chuffed_free_priority_col1","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-04.dzn","6.848","results_sat_all","","3846","41700"
"cpotimizer_free_fixedorder_col3","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t001-05.dzn","0.361","results_sat_all","","136","136"
"chuffed_fixed_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t045-01.dzn","37.31","results_sat_all","","8935","210824"
"gurobi_free_fixedorder_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-01.dzn","7.667","results_sat_all","","4259","52981"
"chuffed_fixed_priority_col3","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t003-05.dzn","0.418","results_sat_all","","647","1372"
"chuffed_fixed_priority_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t015-01.dzn","1.825","results_sat_all","","2556","20260"
"gurobi_free_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t017-06.dzn","7.793","results_sat_all","","4661","52998"
"chuffed_free_priority_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t009-02.dzn","1.0","results_sat_all","","1654","9209"
"gurobi_free_fixedorder_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t006-02.dzn","1.35","results_sat_all","","1446","4750"
"chuffed_free_priority_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t001-01.dzn","0.343","results_sat_all","","350","350"
"chuffed_fixed_priorityrestart_col1","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t004-03.dzn","2.463","results_sat_all","","927","1674"
"cpsat_fixed_fixedorder_col3","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t010-05.dzn","2.316","results_sat_all","","2151","12201"
"chuffed_fixed_priorityrestart_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t022-01.dzn","13.993","results_sat_all","","4426","60015"
"gurobi_free_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t006-06.dzn","0.999","results_sat_all","","1213","3927"
"cpotimizer_free_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t020-02.dzn","4.471","results_sat_all","","6259","87777"
"cpsat_fixed_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t009-02.dzn","1.822","results_sat_all","","1654","9209"
"gurobi_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t021-03.dzn","9.478","results_sat_all","","4616","67454"
"cpsat_free_fixedorder_col4","icaps21","../models/solve_sat.mzn:../models/pddl-print.mzn","icaps21/3TrainStop.dzn","0.942","results_sat_all","","26","61"
"cpotimizer_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t003-01.dzn","0.317","results_sat_all","","770","1870"
"chuffed_fixed_priorityrestart_col4","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t013-05.dzn","1.646","results_sat_all","","2541","19185"
"gurobi_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t025-03.dzn","23.201","results_sat_all","","6732","93892"
"chuffed_fixed_priority_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t017-01.dzn","3.409","results_sat_all","","3423","31869"
"chuffed_fixed_priorityrestart_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t001-03.dzn","0.455","results_sat_all","","295","295"
"chuffed_fixed_priorityrestart_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t010-02.dzn","0.795","results_sat_all","","2114","13887"
"chuffed_fixed_priority_col0","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t016-05.dzn","2.969","results_sat_all","","3013","29532"
"cpotimizer_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t025-03.dzn","8.754","results_sat_all","","6719","109821"
"gurobi_free_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t016-04.dzn","5.35","results_sat_all","","4034","46728"
"chuffed_fixed_priority_col1","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t008-06.dzn","0.942","results_sat_all","","1605","7396"
"chuffed_fixed_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t002-02.dzn","0.365","results_sat_all","","557","948"
"cpsat_fixed_fixedorder_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t045-02.dzn","73.813","results_sat_all","","9003","237058"
"cpotimizer_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t011-01.dzn","1.08","results_sat_all","","2454","23622"
"cpsat_fixed_fixedorder_col3","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t025-03.dzn","14.789","results_sat_all","","5161","78888"
"cpsat_fixed_fixedorder_col3","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-06.dzn","6.465","results_sat_all","","2977","38409"
"chuffed_fixed_priority_col4","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t019-06.dzn","18.696","results_sat_all","","3811","50559"
"chuffed_fixed_priority_col3","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-03.dzn","14.182","results_sat_all","","3196","42001"
"gurobi_free_fixedorder_col3","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t015-05.dzn","4.131","results_sat_all","","4437","37427"
"chuffed_fixed_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t045-03.dzn","33.948","results_sat_all","","9254","238667"
"gurobi_free_fixedorder_col1","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t019-04.dzn","31.452","results_sat_all","","4877","53445"
"cpsat_free_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t011-03.dzn","1.744","results_sat_all","","2193","13780"
"chuffed_fixed_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t040-01.dzn","30.618","results_sat_all","","8024","187947"
"cpsat_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t001-03.dzn","0.506","results_sat_all","","295","295"
"gurobi_free_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t001-05.dzn","0.579","results_sat_all","","136","136"
"chuffed_fixed_fixedorder_col3","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-03.dzn","3.99","results_sat_all","","3196","41993"
"chuffed_free_priority_col0","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t011-06.dzn","0.647","results_sat_all","","2357","19380"
"cpsat_free_fixedorder_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t020-03.dzn","10.464","results_sat_all","","4962","81725"
"chuffed_fixed_priority_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-02.dzn","4.142","results_sat_all","","3348","41187"
"cpsat_free_fixedorder_col1","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t021-01.dzn","13.343","results_sat_all","","5875","62953"
"chuffed_fixed_fixedorder_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t014-03.dzn","2.58","results_sat_all","","2950","28977"
"cpsat_free_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t014-02.dzn","3.358","results_sat_all","","2914","27175"
"chuffed_fixed_priority_col0","icaps21","../models/solve_sat.mzn:../models/pddl-print.mzn","icaps21/1TrainOrigin.dzn","0.318","results_sat_all","","10","10"
"chuffed_free_priority_col0","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t008-05.dzn","0.699","results_sat_all","","1580","4998"
"chuffed_free_priority_col2","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t008-01.dzn","0.492","results_sat_all","","1609","8247"
"chuffed_fixed_priority_col0","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t005-04.dzn","0.506","results_sat_all","","1102","3994"
"chuffed_fixed_priority_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t017-01.dzn","3.106","results_sat_all","","3423","31869"
"cpotimizer_free_fixedorder_col2","icaps21","../models/solve_sat.mzn:../models/pddl-print.mzn","icaps21/5Trains.dzn","1.048","results_sat_all","","999","3805"
"gurobi_free_fixedorder_col1","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t021-02.dzn","142.747","results_sat_all","","4887","58543"
"cpsat_free_fixedorder_col1","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t014-03.dzn","6.141","results_sat_all","","2950","29001"
"chuffed_fixed_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t013-06.dzn","1.691","results_sat_all","","2711","24231"
"chuffed_free_priority_col4","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t013-04.dzn","2.372","results_sat_all","","2696","18829"
"cpsat_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t010-03.dzn","1.557","results_sat_all","","2149","10737"
"cpsat_fixed_fixedorder_col3","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t015-03.dzn","4.182","results_sat_all","","2667","26624"
"cpsat_free_fixedorder_col3","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t014-01.dzn","3.66","results_sat_all","","2983","24773"
"chuffed_fixed_priority_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t011-02.dzn","1.241","results_sat_all","","2315","16157"
"cpsat_free_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t013-06.dzn","3.46","results_sat_all","","2690","24225"
"gurobi_free_fixedorder_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t007-03.dzn","0.738","results_sat_all","","1617","7699"
"chuffed_fixed_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t030-02.dzn","15.966","results_sat_all","","6266","104741"
"cpsat_free_fixedorder_col1","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t018-06.dzn","8.55","results_sat_all","","4410","49282"
"chuffed_free_priority_col0","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t019-02.dzn","4.38","results_sat_all","","5099","79364"
"gurobi_free_fixedorder_col3","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t006-05.dzn","0.937","results_sat_all","","1803","9198"
"cpotimizer_free_fixedorder_col4","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t015-05.dzn","2.084","results_sat_all","","4062","34988"
"cpotimizer_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t022-03.dzn","25.202","results_sat_all","","4319","83698"
"cpotimizer_free_fixedorder_col4","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t030-02.dzn","264.955","results_sat_all","","6733","155663"
"chuffed_fixed_priorityrestart_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t002-06.dzn","1.101","results_sat_all","","533","1006"
"cpsat_free_fixedorder_col4","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t014-04.dzn","3.614","results_sat_all","","2818","18662"
"gurobi_free_fixedorder_col1","rnd_large","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t013-03.dzn","3.845","results_sat_all","","3435","25804"
"chuffed_fixed_fixedorder_col2","rnd_new","../models/solve_sat.mzn:../models/pddl-print.mzn","cp2025/t013-05.dzn","1.837","results_sat_all","","2541","19185"
