"configuration","problem","model","data_file","time","run","objective","v_makespan","v_end_sum"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","0.708","sat_reverse-cp2025","","1539","8386"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-05.dzn","0.27","sat_reverse-cp2025","","647","1372"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","0.893","sat_reverse-cp2025","","3324","44230"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-01.dzn","0.35","sat_reverse-cp2025","","914","4060"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-06.dzn","0.348","sat_reverse-cp2025","","1292","6617"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","1.693","sat_reverse-cp2025","","2131","13726"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-01.dzn","100.065","sat_reverse-cp2025","","4088","61700"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","1.784","sat_reverse-cp2025","","2919","33629"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-03.dzn","0.985","sat_reverse-cp2025","","2136","19497"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","3.82","sat_reverse-cp2025","","2667","31514"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-01.dzn","0.333","sat_reverse-cp2025","","786","2037"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-03.dzn","4.278","sat_reverse-cp2025","","3244","39819"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-01.dzn","0.208","sat_reverse-cp2025","","350","350"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","8.154","sat_reverse-cp2025","","3846","44746"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","8.602","sat_reverse-cp2025","","6088","118716"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","0.848","sat_reverse-cp2025","","2114","16994"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","0.444","sat_reverse-cp2025","","1579","7509"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","1.357","sat_reverse-cp2025","","2051","11354"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-01.dzn","0.278","sat_reverse-cp2025","","1609","8247"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-06.dzn","0.426","sat_reverse-cp2025","","1424","9478"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-01.dzn","21.877","sat_reverse-cp2025","","3933","64488"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-03.dzn","1.007","sat_reverse-cp2025","","1770","7456"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-04.dzn","0.712","sat_reverse-cp2025","","886","2700"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-04.dzn","1.275","sat_reverse-cp2025","","2204","20918"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-04.dzn","0.411","sat_reverse-cp2025","","1342","6290"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t045-01.dzn","158.519","sat_reverse-cp2025","","8935","215574"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","11.502","sat_reverse-cp2025","","4488","85127"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","1.148","sat_reverse-cp2025","","683","2580"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-06.dzn","0.677","sat_reverse-cp2025","","1632","11577"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-01.dzn","0.274","sat_reverse-cp2025","","558","1533"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","3.536","sat_reverse-cp2025","","2561","19454"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-05.dzn","0.728","sat_reverse-cp2025","","1449","5993"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","0.771","sat_reverse-cp2025","","1725","11738"
